m;type;squareMeters;rooms;floor;floorCount;buildYear;latitude;longitude;centreDistance;poiCount;schoolDistance;clinicDistance;postOfficeDistance;kindergartenDistance;restaurantDistance;collegeDistance;pharmacyDistance;ownership;buildingMaterial;condition;hasParkingSpace;hasBalcony;hasElevator;hasSecurity;hasStorageRoom;price
szczecin;blockOfFlats;56.2;3.0;4.0;11.0;1980.0;53.37787041;14.65629097;08.sty;22.0;0.245;0.069;0.398;0.081;0.06;;0.069;cooperative;concreteSlab;premium;yes;no;yes;no;yes;560000
szczecin;;40.0;2.0;4.0;5.0;2020.0;53.42968095;14.59291267;lut.23;0.0;1.607;2.572;1.595;1.895;1.386;2.071;1.459;condominium;;;no;yes;yes;no;no;569000
szczecin;;96.4;4.0;;1.0;;53.4972657;14.6043884;08.lip;0.0;0.555;1.933;0.622;1.038;1.287;4.211;1.285;condominium;;;yes;no;no;no;no;595000
szczecin;tenement;131.83;5.0;3.0;3.0;1930.0;53.4322324;14.5410165;sty.65;75.0;0.184;0.546;0.297;0.237;0.061;0.311;0.044;condominium;brick;premium;no;no;no;no;yes;799000
szczecin;tenement;90.22;4.0;;4.0;1900.0;53.4279257;14.5404657;sty.45;53.0;0.041;0.555;0.232;0.266;0.128;0.259;0.149;condominium;brick;low;no;no;;no;no;549000
szczecin;tenement;77.4;3.0;;4.0;1930.0;53.432858;14.532781;lut.14;28.0;0.216;0.443;0.156;0.355;0.022;0.531;0.157;condominium;brick;;no;no;no;no;yes;499000
szczecin;;53.2;3.0;4.0;4.0;1976.0;53.457;14.5367;04.lip;7.0;0.136;0.357;0.165;0.355;0.078;1.681;0.233;cooperative;;;yes;yes;no;no;yes;480000
szczecin;blockOfFlats;53.0;2.0;1.0;1.0;1918.0;53.38222682;14.63242214;cze.59;12.0;0.324;1.347;0.062;0.045;1.411;;0.105;condominium;brick;premium;yes;no;no;no;yes;429000
szczecin;tenement;45.44;3.0;2.0;2.0;1950.0;53.444725;14.50301;kwi.51;6.0;0.369;0.343;0.301;0.37;0.237;1.858;0.252;condominium;brick;low;yes;no;no;no;yes;380000
szczecin;blockOfFlats;84.8;4.0;1.0;4.0;1990.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;;no;yes;no;no;yes;599000
szczecin;tenement;56.0;2.0;4.0;4.0;1960.0;53.42839144;14.53819942;sty.61;52.0;0.108;0.71;0.076;0.229;0.145;0.368;0.149;condominium;brick;;no;no;;no;no;445000
szczecin;blockOfFlats;49.31;3.0;2.0;3.0;2017.0;53.4242845;14.4868255;kwi.91;10.0;0.291;0.395;0.206;0.456;0.339;3.008;0.237;condominium;;premium;yes;no;yes;no;no;669000
szczecin;;56.74;2.0;2.0;3.0;1930.0;53.4308373;14.5419351;sty.51;75.0;0.261;0.582;0.132;0.166;0.043;0.19;0.075;condominium;brick;premium;no;no;no;no;yes;475000
szczecin;tenement;59.8;3.0;;4.0;1930.0;53.4322141;14.554395;01.lip;56.0;0.176;0.309;0.091;0.193;0.095;0.577;0.026;condominium;brick;premium;no;no;;no;no;689000
szczecin;blockOfFlats;87.0;4.0;2.0;3.0;2022.0;53.4950157;14.59575595;sie.29;1.0;0.842;1.382;0.724;0.466;0.712;3.773;0.709;condominium;;premium;yes;no;no;no;no;1195000
szczecin;apartmentBuilding;86.45;4.0;1.0;6.0;2023.0;53.45596235;14.53538076;4.0;10.0;0.093;0.213;0.033;0.218;0.068;1.549;0.09;condominium;brick;;yes;no;yes;no;no;799000
szczecin;blockOfFlats;42.74;3.0;5.0;5.0;1960.0;53.4420591;14.4834826;maj.54;7.0;0.958;01.maj;0.431;0.267;0.166;3.132;0.389;condominium;brick;premium;no;no;yes;no;no;335000
szczecin;blockOfFlats;26.mar;1.0;2.0;10.0;1980.0;53.4187193;14.5445331;sty.21;9.0;0.233;0.479;0.55;0.592;0.366;0.866;0.335;cooperative;concreteSlab;low;no;no;yes;no;no;279000
szczecin;tenement;49.7;2.0;1.0;4.0;1950.0;53.4390594;14.5216899;mar.13;0.0;0.502;0.818;0.714;0.691;0.565;0.63;0.564;condominium;brick;premium;no;no;;no;no;474000
szczecin;;97.12;3.0;1.0;1.0;1930.0;53.404167;14.503333;kwi.38;5.0;0.834;1.803;0.337;1.177;0.067;2.558;0.21;condominium;brick;premium;yes;no;no;no;no;769000
szczecin;blockOfFlats;87.6;4.0;4.0;4.0;2010.0;53.45716585;14.58363125;04.kwi;7.0;0.124;1.228;0.94;0.852;0.162;0.703;0.23;condominium;;low;yes;no;yes;no;no;766000
szczecin;tenement;101.0;3.0;3.0;4.0;1930.0;53.4310784;14.53276289;02.maj;30.0;0.26;0.621;0.302;0.463;0.209;0.644;0.186;condominium;brick;premium;no;yes;no;no;yes;559000
szczecin;blockOfFlats;42.0;2.0;2.0;4.0;1997.0;53.4568488;14.5832816;4.0;7.0;0.105;sty.27;0.927;0.87;0.132;0.723;0.244;condominium;brick;;no;yes;no;no;yes;299000
szczecin;tenement;104.0;4.0;1.0;4.0;1930.0;53.432222;14.555833;01.kwi;47.0;0.173;0.332;0.01;0.261;0.062;0.501;0.121;condominium;brick;;no;no;no;no;yes;720000
szczecin;tenement;101.0;3.0;3.0;4.0;1930.0;53.4310784;14.53276289;02.maj;30.0;0.26;0.621;0.302;0.463;0.209;0.644;0.186;condominium;brick;premium;no;yes;no;no;yes;559000
szczecin;;77.86;4.0;4.0;4.0;1991.0;53.42854865;14.5330613;sty.94;27.0;0.255;0.69;0.214;0.475;0.184;0.698;0.058;condominium;brick;low;yes;yes;no;no;yes;480000
szczecin;;57.0;2.0;1.0;1.0;1980.0;53.4538212;14.6692962;lip.93;0.0;;;;kwi.96;4.806;;4.618;cooperative;;;no;no;;no;no;395000
szczecin;tenement;43.86;2.0;1.0;1.0;1920.0;53.455075;14.5474;mar.64;4.0;0.71;0.951;0.238;0.193;0.532;1.797;0.122;condominium;brick;low;no;no;;no;no;350000
szczecin;blockOfFlats;52.0;2.0;2.0;2.0;2001.0;53.4419681;14.4860282;maj.38;6.0;0.877;1.332;0.264;0.368;0.058;2.963;0.268;condominium;brick;premium;yes;no;no;no;no;450000
szczecin;;44.54;2.0;6.0;7.0;2021.0;53.4572067;14.5422931;mar.96;4.0;0.4;0.675;0.509;0.361;0.433;1.824;0.507;condominium;;premium;yes;yes;yes;no;no;529000
szczecin;;69.0;3.0;2.0;4.0;1994.0;53.447104;14.5561901;lut.66;15.0;0.202;0.712;0.722;0.287;0.213;1.543;0.09;cooperative;brick;;no;yes;no;no;no;580000
szczecin;apartmentBuilding;68.0;3.0;2.0;3.0;2001.0;53.4613134;14.5425304;kwi.39;3.0;0.591;0.972;0.431;0.551;0.024;2.253;0.119;cooperative;brick;premium;no;yes;no;no;yes;715000
szczecin;tenement;48.0;2.0;2.0;2.0;1935.0;53.4503163;14.5010526;kwi.97;12.0;0.208;0.956;0.122;0.577;0.215;lut.16;0.094;condominium;brick;low;no;no;no;no;yes;385000
szczecin;blockOfFlats;58.79;3.0;;4.0;2003.0;53.4546723;14.5691761;mar.52;12.0;0.259;0.4;0.238;0.558;0.414;1.082;0.382;condominium;;low;yes;no;;no;no;549000
szczecin;tenement;82.25;3.0;2.0;4.0;1930.0;53.455075;14.5474;mar.64;4.0;0.71;0.951;0.238;0.193;0.532;1.797;0.122;condominium;brick;;no;yes;no;no;yes;599000
szczecin;blockOfFlats;63.5;3.0;2.0;10.0;1985.0;53.3681086;14.6537322;08.lip;7.0;0.477;0.763;0.227;0.374;0.111;;0.099;cooperative;concreteSlab;premium;no;yes;yes;no;yes;550000
